2021-05-11T15:23:00,2021-05-11T17:46:00,17741
2021-05-16T17:50:00,2021-05-16T21:16:00,18972
2021-05-22T00:10:00,2021-05-22T01:47:00,18044
2021-06-05T09:11:00,2021-06-05T11:11:00,7963
2021-06-22T21:06:00,2021-06-22T22:58:00,6175
2021-06-24T16:11:00,2021-06-24T18:49:00,114424
2021-07-06T19:43:00,2021-07-06T21:27:00,81905
2021-07-13T07:28:00,2021-07-13T10:03:00,NaN
2021-07-13T16:58:00,2021-07-13T19:48:00,50861
2021-07-16T04:43:00,2021-07-16T07:01:00,93833
2021-08-07T15:22:00,2021-08-07T16:46:00,45299
2021-09-19T07:57:00,2021-09-19T12:46:00,9791
